Martial Status,Sex,Year,Age,Education,Job,Skill Level,Area Type,Type of unemployment
Married,Female,2021,17,NaN,Doctor,No skill,Urban,Don't have a job
Divorced of separated legally,Female,2002,47,Basic,IT Developer,medium,National,Have a job
NaN,Male,2018,39,Advanced,Accountant,No skill,National,Have a job
NaN,Male,2002,31,Intermediate,Artist,low,Rural,Don't have a job
Widowed,Male,2017,30,Intermediate,Doctor,NaN,National,Don't have a job
Widowed,Female,2017,26,NaN,Banker,NaN,Urban,Don't have a job
NaN,Both,2009,50,Less than basic,IT Developer,No skill,National,Don't have a job
Widowed,Female,2019,44,NaN,Doctor,advanced,National,Have a job
Single,Female,2019,61,NaN,Accountant,NaN,National,Have a job
Married,Male,2005,21,Less than basic,Accountant,low,Rural,Don't have a job
NaN,Female,2008,25,NaN,IT Developer,advanced,National,Have a job
Single,Male,2018,43,Less than basic,Accountant,low,Rural,Have a job
Divorced of separated legally,Male,2011,19,Less than basic,Teacher,medium,Urban,Have a job
Divorced of separated legally,Both,2015,30,Less than basic,Car driver,low,Rural,Have a job
Single,Both,2022,64,NaN,Car driver,advanced,National,Don't have a job
NaN,Male,2014,58,Less than basic,Banker,NaN,National,Have a job
Single,Female,2006,65,Basic,Car driver,advanced,National,Don't have a job
Widowed,Female,2019,47,Intermediate,Teacher,low,Urban,Have a job
Widowed,Both,2020,23,Intermediate,Architect,low,National,Have a job
NaN,Male,2009,63,NaN,Teacher,NaN,Urban,Have a job
NaN,Female,2023,31,Advanced,Teacher,No skill,Rural,Have a job
NaN,Male,2000,57,NaN,Teacher,No skill,National,Have a job
Widowed,Male,2000,25,NaN,Doctor,NaN,Rural,Don't have a job
Divorced of separated legally,Male,2000,33,Intermediate,Banker,No skill,Urban,Don't have a job
Widowed,Female,2012,52,NaN,Doctor,NaN,Rural,Have a job
Divorced of separated legally,Female,2009,55,Intermediate,Banker,low,Rural,Have a job
Single,Both,2004,59,Less than basic,Doctor,medium,Rural,Have a job
Divorced of separated legally,Female,2005,33,Basic,Car driver,NaN,National,Don't have a job
Married,Both,2005,49,Intermediate,Teacher,medium,Urban,Have a job
Single,Both,2023,26,Basic,Car driver,medium,Urban,Don't have a job
Married,Both,2010,39,Advanced,Teacher,low,National,Have a job
Divorced of separated legally,Male,2010,34,Intermediate,Accountant,advanced,Urban,Don't have a job
Widowed,Female,2005,29,Less than basic,Architect,advanced,Rural,Have a job
NaN,Female,2021,29,NaN,Teacher,low,Rural,Don't have a job
Divorced of separated legally,Male,2001,64,Intermediate,Doctor,NaN,Urban,Have a job
NaN,Female,2008,31,Basic,Accountant,No skill,Rural,Have a job
Widowed,Male,2006,15,Intermediate,Doctor,advanced,Rural,Have a job
NaN,Female,2014,40,Advanced,Car driver,No skill,National,Have a job
Single,Female,2019,58,Less than basic,Doctor,medium,National,Have a job
Single,Female,2004,38,Intermediate,Teacher,No skill,Urban,Don't have a job
Widowed,Male,2001,64,Advanced,Banker,advanced,Rural,Have a job
Divorced of separated legally,Female,2019,28,Intermediate,Teacher,advanced,Urban,Have a job
NaN,Female,2021,32,NaN,Doctor,medium,National,Have a job
Divorced of separated legally,Male,2002,50,Intermediate,IT Developer,No skill,National,Don't have a job
NaN,Male,2004,49,NaN,Teacher,advanced,Urban,Have a job
Divorced of separated legally,Both,2023,54,Intermediate,Accountant,low,Rural,Have a job
Single,Both,2006,43,Advanced,Artist,medium,Rural,Don't have a job
Divorced of separated legally,Female,2004,24,Less than basic,Teacher,medium,Urban,Don't have a job
Widowed,Female,2018,60,Intermediate,Accountant,low,National,Don't have a job
Single,Female,2009,16,Less than basic,IT Developer,low,National,Have a job
NaN,Female,2001,45,Basic,Architect,low,Urban,Don't have a job
Single,Male,2010,56,Advanced,Architect,advanced,National,Don't have a job
Widowed,Female,2007,20,NaN,Banker,low,Rural,Don't have a job
NaN,Female,2005,25,Basic,IT Developer,No skill,Rural,Don't have a job
Divorced of separated legally,Male,2016,44,Basic,Artist,NaN,National,Have a job
Married,Female,2002,19,Intermediate,Accountant,NaN,Urban,Don't have a job
Single,Female,2023,51,Less than basic,Teacher,No skill,National,Don't have a job
Divorced of separated legally,Female,2004,65,NaN,Doctor,medium,Rural,Don't have a job
Married,Both,2002,39,Advanced,Teacher,NaN,Urban,Have a job
Widowed,Male,2015,22,Less than basic,Accountant,medium,National,Have a job
Widowed,Female,2013,21,Less than basic,Doctor,No skill,Urban,Have a job
Widowed,Both,2010,65,NaN,Car driver,low,Rural,Have a job
Single,Male,2012,53,Intermediate,Banker,advanced,Urban,Have a job
Single,Both,2009,36,Intermediate,Architect,No skill,Rural,Have a job
Single,Both,2018,58,Less than basic,Artist,No skill,National,Don't have a job
Single,Male,2008,31,Basic,Teacher,medium,Rural,Don't have a job
Married,Male,2000,29,Advanced,Accountant,advanced,Rural,Don't have a job
Divorced of separated legally,Both,2014,16,Advanced,Car driver,No skill,National,Have a job
NaN,Female,2013,26,NaN,Artist,NaN,Rural,Don't have a job
NaN,Female,2001,25,NaN,Banker,medium,Rural,Have a job
Widowed,Female,2004,42,Less than basic,Car driver,NaN,Rural,Have a job
NaN,Female,2006,44,NaN,Architect,No skill,Urban,Don't have a job
Single,Male,2010,32,Basic,IT Developer,medium,Rural,Don't have a job
Widowed,Female,2009,40,Less than basic,Accountant,low,Urban,Have a job
Single,Male,2006,41,Less than basic,Doctor,low,Urban,Have a job
NaN,Both,2011,32,Intermediate,Teacher,No skill,Urban,Have a job
Single,Male,2008,51,NaN,Banker,advanced,Rural,Have a job
Widowed,Male,2012,63,Intermediate,IT Developer,medium,National,Don't have a job
Widowed,Male,2008,29,Less than basic,Accountant,NaN,Rural,Don't have a job
Divorced of separated legally,Male,2012,43,NaN,Artist,low,National,Have a job
Married,Female,2005,18,NaN,IT Developer,low,Urban,Don't have a job
NaN,Male,2021,19,Advanced,Teacher,NaN,National,Don't have a job
Married,Female,2014,50,Less than basic,Architect,advanced,National,Have a job
Married,Both,2015,60,Less than basic,Car driver,advanced,National,Don't have a job
NaN,Male,2017,16,Basic,Doctor,advanced,Urban,Have a job
NaN,Female,2001,24,Intermediate,Banker,advanced,Urban,Don't have a job
NaN,Male,2014,21,Advanced,Accountant,medium,Urban,Don't have a job
NaN,Both,2017,49,Less than basic,Car driver,No skill,Rural,Have a job
Divorced of separated legally,Female,2022,45,Less than basic,Car driver,No skill,Urban,Have a job
Married,Both,2016,36,Less than basic,IT Developer,NaN,Urban,Don't have a job
NaN,Both,2001,50,NaN,Teacher,NaN,Rural,Have a job
Single,Male,2022,62,Intermediate,Doctor,advanced,Urban,Don't have a job
Divorced of separated legally,Female,2018,24,Basic,Doctor,advanced,Urban,Don't have a job
NaN,Female,2002,47,Intermediate,Banker,NaN,National,Have a job
Married,Male,2008,46,Advanced,IT Developer,No skill,Rural,Have a job
Married,Female,2016,21,NaN,Accountant,medium,Rural,Have a job
Married,Both,2001,26,Basic,Car driver,low,National,Don't have a job
Single,Both,2002,25,Basic,IT Developer,No skill,National,Don't have a job
Widowed,Male,2010,22,Basic,Doctor,NaN,National,Don't have a job
Single,Male,2009,17,Basic,Accountant,NaN,National,Don't have a job
Single,Female,2014,53,Intermediate,Teacher,low,Urban,Don't have a job
Widowed,Male,2001,35,NaN,Banker,medium,Urban,Don't have a job
Widowed,Male,2008,53,Advanced,Car driver,No skill,Urban,Don't have a job
Single,Female,2012,38,Advanced,Artist,NaN,Urban,Have a job
Widowed,Male,2017,30,Less than basic,Artist,advanced,National,Have a job
Married,Female,2017,15,Less than basic,Artist,medium,Urban,Don't have a job
NaN,Female,2018,35,NaN,IT Developer,advanced,Rural,Don't have a job
Single,Both,2014,51,Basic,Accountant,No skill,Urban,Don't have a job
Divorced of separated legally,Male,2006,16,NaN,Car driver,medium,National,Have a job
NaN,Male,2012,49,Advanced,Banker,advanced,Rural,Have a job
Divorced of separated legally,Both,2014,56,NaN,Artist,NaN,Rural,Have a job
Divorced of separated legally,Female,2015,24,Advanced,Banker,advanced,National,Have a job
Single,Both,2010,50,Intermediate,Doctor,advanced,Urban,Have a job
Married,Male,2023,49,Basic,Accountant,advanced,National,Have a job
Single,Male,2015,18,Less than basic,Banker,NaN,Rural,Don't have a job
Married,Male,2008,60,Basic,Doctor,NaN,Rural,Don't have a job
NaN,Both,2012,43,Less than basic,Artist,advanced,National,Have a job
Single,Both,2001,48,NaN,Doctor,NaN,National,Don't have a job
Divorced of separated legally,Both,2006,58,Intermediate,Banker,No skill,Urban,Have a job
Widowed,Male,2013,28,NaN,IT Developer,medium,Rural,Have a job
Divorced of separated legally,Male,2010,19,Intermediate,IT Developer,NaN,Urban,Have a job
Single,Female,2019,32,NaN,Doctor,medium,National,Have a job
Single,Both,2005,38,Advanced,Banker,NaN,Rural,Have a job
Married,Both,2012,51,Less than basic,Banker,medium,National,Have a job
Married,Both,2023,63,Advanced,Teacher,NaN,National,Have a job
Widowed,Both,2015,61,Basic,IT Developer,medium,Urban,Don't have a job
Divorced of separated legally,Male,2004,28,Intermediate,Artist,medium,Rural,Have a job
Divorced of separated legally,Male,2010,46,NaN,Doctor,medium,Urban,Don't have a job
Married,Female,2021,22,Less than basic,Accountant,medium,Rural,Don't have a job
Single,Female,2012,43,Basic,Teacher,NaN,Rural,Have a job
Widowed,Male,2015,33,Less than basic,Banker,medium,Urban,Don't have a job
NaN,Female,2002,57,Intermediate,Doctor,advanced,Urban,Don't have a job
NaN,Male,2022,27,Advanced,Car driver,medium,Urban,Don't have a job
Widowed,Male,2022,60,Intermediate,Doctor,low,Rural,Don't have a job
NaN,Female,2004,53,Less than basic,Car driver,advanced,Rural,Have a job
Married,Both,2011,52,Less than basic,Doctor,NaN,Urban,Have a job
Divorced of separated legally,Female,2004,33,Intermediate,Architect,No skill,Rural,Have a job
Married,Female,2015,61,NaN,Banker,low,National,Have a job
Married,Both,2005,25,Intermediate,Car driver,NaN,Rural,Don't have a job
Married,Female,2021,48,Intermediate,IT Developer,No skill,Rural,Have a job
Widowed,Male,2022,19,Intermediate,Teacher,No skill,Rural,Have a job
Single,Male,2004,49,NaN,Car driver,advanced,National,Don't have a job
Married,Female,2021,16,Basic,Artist,No skill,Urban,Don't have a job
Divorced of separated legally,Both,2018,33,Advanced,IT Developer,NaN,National,Have a job
Widowed,Both,2019,51,Less than basic,IT Developer,No skill,Rural,Don't have a job
Divorced of separated legally,Both,2018,61,Intermediate,Accountant,NaN,Rural,Don't have a job
NaN,Male,2009,61,Basic,Architect,low,Rural,Don't have a job
Divorced of separated legally,Both,2015,45,Less than basic,IT Developer,NaN,National,Have a job
Single,Female,2002,21,NaN,IT Developer,NaN,Rural,Have a job
Single,Male,2006,33,NaN,Banker,NaN,National,Don't have a job
Divorced of separated legally,Male,2009,59,NaN,Teacher,advanced,Rural,Don't have a job
Divorced of separated legally,Female,2018,27,Less than basic,Architect,medium,Rural,Don't have a job
Single,Both,2015,23,NaN,Doctor,NaN,Urban,Don't have a job
Divorced of separated legally,Both,2016,29,Advanced,Accountant,low,National,Don't have a job
Single,Female,2006,41,Basic,Doctor,medium,Urban,Have a job
Married,Both,2019,65,NaN,Banker,low,National,Don't have a job
NaN,Both,2003,47,NaN,Car driver,medium,Rural,Don't have a job
NaN,Both,2020,29,Intermediate,Architect,NaN,Urban,Have a job
Married,Male,2001,49,Basic,Architect,medium,National,Have a job
Divorced of separated legally,Both,2002,41,Less than basic,Car driver,No skill,Urban,Don't have a job
Divorced of separated legally,Female,2010,46,Basic,IT Developer,low,Rural,Don't have a job
Divorced of separated legally,Female,2015,21,Intermediate,Car driver,NaN,National,Don't have a job
Single,Female,2006,18,Less than basic,Teacher,advanced,National,Don't have a job
Divorced of separated legally,Both,2008,22,Less than basic,IT Developer,medium,Rural,Don't have a job
Widowed,Both,2014,63,Intermediate,Doctor,low,Urban,Don't have a job
Married,Both,2003,65,Intermediate,IT Developer,medium,Rural,Have a job
Divorced of separated legally,Female,2023,55,Advanced,Banker,medium,National,Have a job
NaN,Both,2001,53,Advanced,Car driver,No skill,Rural,Have a job
Single,Male,2003,19,Basic,Banker,advanced,Urban,Don't have a job
Single,Female,2002,37,Advanced,Banker,low,Urban,Don't have a job
Widowed,Male,2020,43,Advanced,Doctor,medium,Urban,Have a job
Single,Both,2001,55,NaN,Artist,low,Urban,Don't have a job
Single,Both,2012,37,Advanced,Car driver,low,Urban,Don't have a job
Married,Female,2014,56,Intermediate,Banker,medium,Rural,Have a job
Married,Male,2008,61,Intermediate,Accountant,medium,National,Have a job
Single,Both,2008,28,NaN,Banker,medium,National,Have a job
Widowed,Female,2017,28,Less than basic,IT Developer,No skill,Rural,Don't have a job
Single,Female,2010,23,Less than basic,Doctor,NaN,Urban,Don't have a job
Married,Female,2017,41,NaN,Artist,advanced,Urban,Have a job
Single,Male,2005,58,Intermediate,Accountant,NaN,Urban,Have a job
NaN,Both,2007,39,Advanced,Teacher,advanced,Urban,Have a job
Widowed,Female,2017,23,Intermediate,IT Developer,NaN,Urban,Don't have a job
Married,Male,2012,32,Intermediate,Artist,low,Urban,Don't have a job
NaN,Female,2001,61,Intermediate,IT Developer,No skill,Rural,Have a job
Divorced of separated legally,Female,2000,15,Less than basic,Accountant,medium,National,Don't have a job
NaN,Both,2005,30,Advanced,Architect,low,National,Have a job
Single,Female,2006,25,Intermediate,Artist,medium,Rural,Have a job
Divorced of separated legally,Male,2021,43,NaN,Architect,advanced,Rural,Have a job
Widowed,Female,2014,33,NaN,Artist,NaN,Rural,Have a job
Married,Male,2013,65,Advanced,Teacher,medium,National,Have a job
Widowed,Female,2001,16,NaN,Teacher,No skill,Rural,Have a job
Divorced of separated legally,Female,2016,29,NaN,Banker,advanced,Urban,Have a job
Widowed,Male,2006,21,Advanced,Architect,medium,National,Don't have a job
Divorced of separated legally,Female,2023,42,Less than basic,Banker,NaN,National,Have a job
Widowed,Male,2001,16,Less than basic,Artist,medium,Rural,Have a job
Divorced of separated legally,Male,2022,64,Advanced,IT Developer,advanced,National,Have a job
Divorced of separated legally,Female,2008,15,Basic,Banker,medium,National,Have a job
Married,Both,2008,42,Intermediate,Accountant,No skill,Rural,Don't have a job
Single,Both,2001,56,Less than basic,Banker,NaN,National,Don't have a job
Single,Male,2012,20,Basic,Architect,low,Urban,Have a job
Married,Both,2012,53,Intermediate,Car driver,No skill,National,Have a job
Single,Both,2001,64,Less than basic,Architect,medium,National,Don't have a job
Divorced of separated legally,Both,2017,22,Advanced,Teacher,medium,National,Have a job
Widowed,Both,2020,51,NaN,Car driver,NaN,National,Have a job
Divorced of separated legally,Female,2014,23,Less than basic,IT Developer,NaN,Urban,Have a job
NaN,Male,2001,20,Basic,Architect,advanced,Urban,Have a job
NaN,Male,2000,18,Advanced,Artist,medium,Rural,Don't have a job
Single,Both,2014,29,Intermediate,Teacher,advanced,Rural,Have a job
Single,Male,2005,20,Less than basic,Accountant,medium,Rural,Don't have a job
Single,Both,2015,31,NaN,Accountant,low,Urban,Have a job
Widowed,Male,2001,39,Less than basic,Teacher,low,National,Don't have a job
Single,Both,2013,21,Intermediate,IT Developer,medium,National,Don't have a job
NaN,Both,2018,61,Advanced,IT Developer,advanced,Rural,Don't have a job
Divorced of separated legally,Male,2003,55,Advanced,Teacher,advanced,Urban,Have a job
Married,Female,2006,45,Advanced,Teacher,No skill,Urban,Have a job
Married,Male,2002,42,Less than basic,IT Developer,No skill,Rural,Don't have a job
NaN,Male,2003,15,Advanced,IT Developer,No skill,National,Have a job
Single,Female,2001,23,Less than basic,Accountant,medium,Rural,Have a job
Widowed,Male,2016,55,Advanced,Teacher,advanced,Rural,Don't have a job
Single,Male,2005,27,Advanced,IT Developer,No skill,National,Have a job
NaN,Both,2008,44,Intermediate,Artist,No skill,National,Don't have a job
Single,Female,2014,19,Advanced,Teacher,No skill,Rural,Don't have a job
Widowed,Male,2000,31,Less than basic,Banker,low,Urban,Have a job
Single,Both,2004,54,Advanced,Banker,No skill,Urban,Have a job
Divorced of separated legally,Both,2005,28,Less than basic,Doctor,medium,Rural,Have a job
NaN,Female,2010,28,Basic,Teacher,NaN,Rural,Don't have a job
Widowed,Female,2017,26,NaN,Banker,advanced,National,Have a job
NaN,Female,2009,54,Advanced,Accountant,low,National,Have a job
Married,Male,2017,60,NaN,Accountant,NaN,National,Have a job
Widowed,Male,2012,29,Advanced,Teacher,low,Rural,Have a job
Divorced of separated legally,Male,2017,60,Less than basic,IT Developer,No skill,Urban,Don't have a job
NaN,Both,2013,55,Intermediate,Artist,medium,National,Don't have a job
Widowed,Female,2003,27,Intermediate,Doctor,advanced,Urban,Don't have a job
Divorced of separated legally,Male,2008,37,Advanced,Teacher,advanced,National,Don't have a job
Single,Female,2003,16,Basic,Banker,No skill,Urban,Don't have a job
Single,Male,2003,37,Intermediate,Banker,advanced,Rural,Don't have a job
Single,Female,2020,34,Less than basic,Car driver,low,Rural,Don't have a job
Single,Both,2012,61,Basic,Doctor,advanced,Urban,Have a job
Married,Male,2005,64,Less than basic,Doctor,NaN,National,Have a job
Divorced of separated legally,Male,2009,55,NaN,Banker,low,National,Don't have a job
Married,Male,2001,55,Intermediate,Banker,advanced,National,Don't have a job
Married,Male,2019,29,Less than basic,Car driver,advanced,Urban,Don't have a job
Divorced of separated legally,Male,2002,44,Intermediate,Accountant,No skill,National,Don't have a job
Single,Female,2004,65,Basic,Artist,advanced,Urban,Don't have a job
Widowed,Female,2023,45,Intermediate,Accountant,NaN,National,Don't have a job
Single,Female,2013,47,Advanced,Teacher,NaN,National,Have a job
Married,Male,2016,58,Advanced,Teacher,advanced,Urban,Have a job
Married,Female,2000,61,Intermediate,Car driver,advanced,Urban,Have a job
Widowed,Both,2008,19,Less than basic,Doctor,No skill,Rural,Have a job
Divorced of separated legally,Both,2007,21,Intermediate,Artist,No skill,Rural,Have a job
Single,Both,2008,43,NaN,Artist,No skill,Urban,Have a job
Widowed,Female,2018,45,Advanced,Architect,low,Urban,Have a job
NaN,Female,2014,54,Basic,Banker,low,Rural,Have a job
Divorced of separated legally,Male,2007,64,Intermediate,Teacher,advanced,National,Have a job
Widowed,Male,2004,18,Less than basic,Teacher,No skill,Urban,Have a job
Married,Both,2007,44,Advanced,Architect,NaN,Urban,Don't have a job
NaN,Both,2019,56,NaN,IT Developer,No skill,National,Have a job
Widowed,Male,2001,49,Intermediate,Banker,advanced,National,Have a job
NaN,Male,2003,55,Advanced,Accountant,medium,Urban,Have a job
Divorced of separated legally,Both,2002,55,NaN,Accountant,No skill,Urban,Have a job
NaN,Both,2020,27,Intermediate,Teacher,NaN,Rural,Don't have a job
Married,Female,2022,27,Less than basic,Architect,No skill,Urban,Don't have a job
Divorced of separated legally,Male,2009,44,Advanced,Car driver,NaN,National,Have a job
Single,Male,2009,54,Intermediate,Teacher,medium,Rural,Have a job
Divorced of separated legally,Male,2021,59,Less than basic,Teacher,NaN,Urban,Don't have a job
Divorced of separated legally,Male,2012,44,Basic,Architect,medium,National,Don't have a job
Single,Female,2022,30,Less than basic,Artist,No skill,Urban,Don't have a job
Divorced of separated legally,Female,2008,49,Basic,IT Developer,medium,Urban,Don't have a job
Married,Male,2021,59,Less than basic,Banker,low,Rural,Have a job
Married,Female,2018,64,Basic,Teacher,NaN,National,Don't have a job
Married,Male,2001,29,NaN,Artist,advanced,Urban,Have a job
Divorced of separated legally,Female,2021,31,Intermediate,Accountant,advanced,National,Don't have a job
Married,Male,2014,64,Less than basic,Architect,advanced,National,Have a job
Widowed,Male,2020,61,Intermediate,Artist,No skill,Urban,Have a job
Divorced of separated legally,Female,2002,24,Less than basic,Teacher,NaN,Urban,Don't have a job
Married,Female,2004,35,Basic,Artist,medium,Rural,Have a job
Single,Female,2002,35,Basic,Banker,advanced,National,Don't have a job
Widowed,Female,2013,62,Intermediate,Architect,medium,Rural,Don't have a job
Divorced of separated legally,Male,2018,49,NaN,Teacher,low,National,Don't have a job
Married,Female,2018,17,NaN,Teacher,NaN,Urban,Don't have a job
Married,Female,2007,21,Less than basic,Artist,advanced,Urban,Don't have a job
Married,Male,2004,35,Intermediate,Teacher,NaN,Rural,Have a job
Married,Both,2007,30,NaN,Teacher,advanced,National,Have a job
Single,Both,2003,27,Less than basic,Artist,No skill,Urban,Don't have a job
Single,Female,2018,15,NaN,Banker,NaN,National,Have a job
NaN,Male,2012,32,Basic,Car driver,low,National,Have a job
Single,Female,2019,61,Basic,Architect,low,Urban,Have a job
NaN,Male,2023,35,Intermediate,Car driver,No skill,National,Don't have a job
Single,Male,2011,56,Less than basic,Artist,low,Urban,Don't have a job
NaN,Male,2017,28,Less than basic,Teacher,NaN,Rural,Don't have a job
Widowed,Both,2004,16,Intermediate,Doctor,No skill,National,Don't have a job
Married,Both,2004,32,Less than basic,Artist,advanced,Rural,Have a job
Married,Female,2017,63,NaN,IT Developer,low,Rural,Have a job
Divorced of separated legally,Male,2007,37,Basic,IT Developer,low,Urban,Don't have a job
Divorced of separated legally,Both,2014,55,Less than basic,Artist,medium,Urban,Don't have a job
Married,Male,2002,59,Intermediate,Accountant,advanced,Urban,Have a job
Divorced of separated legally,Female,2004,52,Less than basic,Car driver,No skill,National,Don't have a job
Widowed,Female,2009,19,Intermediate,IT Developer,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2020,37,Intermediate,Banker,No skill,Urban,Don't have a job
Married,Female,2012,51,Basic,Architect,NaN,National,Don't have a job
Divorced of separated legally,Male,2004,48,Less than basic,Teacher,medium,Urban,Have a job
Widowed,Both,2023,45,Less than basic,Architect,medium,Rural,Have a job
Married,Male,2015,25,Intermediate,Architect,No skill,Rural,Don't have a job
NaN,Female,2007,29,NaN,Doctor,No skill,Urban,Have a job
NaN,Female,2005,65,Intermediate,Teacher,low,National,Have a job
Single,Both,2023,64,Less than basic,Banker,NaN,Urban,Have a job
Married,Female,2008,51,Advanced,Accountant,advanced,Urban,Have a job
Single,Female,2008,18,NaN,Car driver,No skill,Rural,Don't have a job
Married,Female,2011,42,Less than basic,Artist,medium,National,Don't have a job
Divorced of separated legally,Male,2014,19,Basic,Architect,medium,National,Have a job
Married,Male,2005,17,Less than basic,Accountant,advanced,Rural,Don't have a job
Married,Female,2022,21,Less than basic,Banker,low,Rural,Don't have a job
Single,Female,2006,37,Basic,Accountant,low,Urban,Have a job
Divorced of separated legally,Male,2004,64,Advanced,Car driver,NaN,Urban,Don't have a job
NaN,Female,2014,55,NaN,Artist,low,Urban,Have a job
Single,Male,2015,27,Less than basic,Car driver,low,National,Have a job
Married,Both,2005,18,NaN,Car driver,medium,National,Don't have a job
Single,Female,2000,30,Advanced,IT Developer,advanced,Rural,Don't have a job
Divorced of separated legally,Male,2011,25,Advanced,Artist,medium,National,Don't have a job
Married,Female,2019,54,Less than basic,Accountant,No skill,Urban,Have a job
NaN,Male,2023,50,Advanced,Banker,low,Rural,Don't have a job
NaN,Both,2023,25,Basic,IT Developer,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2001,35,Less than basic,Banker,low,Rural,Have a job
Single,Both,2016,38,Intermediate,Teacher,NaN,National,Don't have a job
NaN,Both,2023,20,Basic,Teacher,advanced,Rural,Have a job
Widowed,Both,2017,58,Intermediate,Architect,No skill,Rural,Don't have a job
Divorced of separated legally,Male,2009,37,Intermediate,Doctor,No skill,Urban,Don't have a job
Divorced of separated legally,Male,2014,24,NaN,Teacher,advanced,Rural,Have a job
Married,Both,2003,26,Basic,IT Developer,NaN,Urban,Have a job
Widowed,Female,2004,18,Intermediate,Accountant,advanced,National,Have a job
Single,Both,2001,44,Less than basic,Teacher,No skill,Urban,Don't have a job
NaN,Both,2014,46,Intermediate,Architect,advanced,Rural,Don't have a job
Single,Female,2013,55,NaN,Doctor,medium,Urban,Have a job
Widowed,Male,2003,62,Advanced,Artist,NaN,National,Have a job
Divorced of separated legally,Female,2021,31,Advanced,Banker,No skill,Urban,Have a job
Married,Both,2004,49,Advanced,Teacher,NaN,Rural,Have a job
Widowed,Both,2008,23,Less than basic,Accountant,NaN,National,Don't have a job
Married,Male,2010,34,Basic,Accountant,medium,Urban,Don't have a job
Widowed,Female,2009,54,Less than basic,Artist,low,National,Don't have a job
Divorced of separated legally,Female,2015,40,Intermediate,Architect,No skill,Urban,Have a job
Single,Male,2003,29,NaN,Artist,advanced,Urban,Don't have a job
Single,Female,2005,46,NaN,IT Developer,advanced,National,Don't have a job
Divorced of separated legally,Both,2010,44,Intermediate,Car driver,low,Rural,Have a job
Married,Female,2012,26,Intermediate,Architect,low,National,Have a job
Married,Female,2007,41,Advanced,IT Developer,NaN,Rural,Don't have a job
Married,Male,2020,19,NaN,Doctor,advanced,Rural,Don't have a job
Widowed,Male,2007,47,Less than basic,Architect,low,Urban,Have a job
Divorced of separated legally,Both,2004,31,Less than basic,Car driver,low,Rural,Have a job
Married,Female,2003,55,Basic,Doctor,NaN,Rural,Don't have a job
Single,Both,2020,22,Basic,IT Developer,advanced,National,Have a job
Widowed,Female,2007,26,Intermediate,Doctor,medium,Urban,Have a job
Divorced of separated legally,Male,2014,19,Intermediate,Doctor,No skill,Urban,Have a job
Widowed,Male,2022,45,Advanced,IT Developer,advanced,Rural,Don't have a job
Widowed,Male,2005,50,Less than basic,IT Developer,advanced,National,Don't have a job
Married,Male,2023,48,Less than basic,Banker,advanced,National,Have a job
NaN,Male,2011,38,Advanced,Banker,medium,Rural,Don't have a job
Single,Female,2011,18,Basic,Accountant,advanced,Rural,Don't have a job
Married,Female,2004,17,Basic,Artist,advanced,Rural,Have a job
Married,Male,2018,52,Advanced,Architect,low,Urban,Don't have a job
Divorced of separated legally,Male,2009,35,Basic,IT Developer,No skill,Rural,Don't have a job
Widowed,Female,2017,44,Intermediate,Accountant,advanced,Rural,Don't have a job
NaN,Both,2022,64,Basic,Banker,NaN,Rural,Don't have a job
Single,Male,2019,61,Intermediate,Teacher,NaN,Urban,Have a job
Widowed,Both,2013,58,NaN,Doctor,advanced,National,Don't have a job
Divorced of separated legally,Both,2017,30,Intermediate,Architect,advanced,Rural,Don't have a job
Divorced of separated legally,Male,2013,43,NaN,Teacher,advanced,National,Have a job
Widowed,Both,2005,36,Advanced,Artist,low,Urban,Don't have a job
Married,Male,2017,39,NaN,Banker,low,Rural,Don't have a job
Widowed,Both,2015,18,Basic,Car driver,No skill,Rural,Don't have a job
Divorced of separated legally,Male,2020,61,Less than basic,Artist,advanced,Rural,Don't have a job
Single,Female,2009,15,Basic,Car driver,NaN,Urban,Don't have a job
Single,Female,2008,62,Less than basic,Artist,medium,National,Have a job
Single,Male,2021,31,Advanced,Banker,No skill,Rural,Don't have a job
Widowed,Male,2011,38,Less than basic,Teacher,low,Urban,Don't have a job
NaN,Male,2010,21,Advanced,Architect,low,Rural,Have a job
Married,Male,2016,64,Intermediate,Doctor,No skill,National,Don't have a job
Single,Female,2001,57,Basic,Architect,No skill,National,Don't have a job
Divorced of separated legally,Both,2006,31,Basic,Banker,low,Urban,Don't have a job
Divorced of separated legally,Both,2020,35,Advanced,Teacher,NaN,National,Have a job
Divorced of separated legally,Male,2015,49,NaN,Architect,medium,Rural,Don't have a job
Married,Both,2008,38,Less than basic,Architect,NaN,Urban,Have a job
Single,Female,2013,25,Less than basic,Banker,advanced,National,Don't have a job
NaN,Both,2009,62,Less than basic,Accountant,No skill,Urban,Have a job
NaN,Female,2000,46,Basic,Architect,medium,Rural,Have a job
Married,Female,2011,30,Less than basic,Car driver,No skill,National,Have a job
Widowed,Both,2020,41,Intermediate,Accountant,medium,National,Don't have a job
Divorced of separated legally,Female,2018,21,Intermediate,Car driver,low,National,Don't have a job
Single,Both,2013,37,Basic,Banker,No skill,Urban,Have a job
Widowed,Female,2000,65,Intermediate,Architect,No skill,Rural,Have a job
Widowed,Female,2019,23,NaN,Car driver,No skill,Urban,Don't have a job
